NSC,PUBCHEM_ID
740,67627
752,538243
755,538245
762,538248
3053,538571
3088,69624
6396,72371
8806,301128
9706,75085
14229,301135
19893,82653
24559,85982
25154,86412
26980,87663
27640,88034
34462,92079
36405,544923
49842,101900
63878,549052
67574,112141
82151,301154
95100,400036
105014,405818
119875,NA
122819,416461
123127,301181
125066,301184
125973,418145
127716,419300
141540,427063
221019,130227
226080,131458
241240,568180
246131,136463
266046,569872
279836,142727
312887,455602
330507,574817
606869,484621
608210,485117
609699,580652
613327,486649
616348,487652
628503,494081
633782,496592
639186,499545
649890,504654
673596,515301
681239,NA
686288,521002
698037,NA
701852,48426290
707545,529444
710464,530822
718781,534851
722134,NA
727859,48427549
732517,48429642
733504,48430111
737754,48431568
745750,91147938
747599,91148446
747973,91148449
750690,91148451
750691,131407778
751249,131407083
751549,NA
753686,NA
754143,131408687
754230,131408688
754344,NA
754345,NA
754349,NA
754350,NA
754352,NA
754353,NA
754354,NA
754355,NA
754356,NA
754357,NA
754358,NA
754359,NA
754360,NA
754361,NA
754362,NA
754364,NA
754365,NA
754366,NA
754367,NA
754771,NA
755385,NA
755386,NA
755387,NA
755389,NA
755400,NA
755606,NA
755762,NA
755763,NA
755766,NA
755770,NA
755774,NA
755775,NA
755927,NA
755980,NA
755983,NA
756641,NA
756642,NA
756643,NA
756644,NA
756645,131408690
756647,NA
756652,NA
756656,NA
756657,NA
756658,NA
756659,NA
756660,NA
756661,NA
756662,NA
756663,NA
756874,NA
756875,NA
756876,NA
756879,NA
757148,NA
757149,NA
757333,NA
757334,NA
757437,NA
757439,NA
757440,NA
757441,144075334
757444,NA
758005,NA
758007,NA
758242,NA
758243,NA
758245,NA
758246,NA
758247,NA
758248,NA
758249,NA
758250,NA
758251,NA
758252,NA
758253,NA
758254,NA
758255,NA
758256,NA
758257,NA
758485,NA
758487,NA
758488,NA
758489,NA
758490,NA
758774,NA
758871,NA
758872,NA
758873,NA
759094,NA
759096,NA
759498,NA
759657,NA
759658,NA
759659,NA
759660,NA
759661,NA
759674,NA
759675,NA
759676,NA
759677,NA
759905,NA
760143,NA
760144,NA
760442,NA
760443,NA
760444,NA
760536,NA
760764,NA
760765,NA
760766,131408693
760841,NA
760842,NA
760843,NA
761068,NA
761069,NA
761070,NA
761188,NA
761189,NA
761190,NA
761191,NA
761192,NA
761193,NA
761194,NA
761215,NA
761386,NA
761387,NA
761432,131408692
761691,NA
761692,NA
761693,NA
761759,NA
761760,NA
761879,NA
761910,NA
761931,NA
762151,NA
762152,NA
762153,NA
762154,NA
762381,NA
762382,NA
762418,NA
762419,NA
762521,NA
762598,NA
762673,NA
763444,NA
763525,NA
763526,NA
763564,NA
763579,NA
763832,NA
763930,NA
763932,NA
764036,NA
764039,NA
764040,NA
764041,NA
764042,NA
764043,NA
764091,NA
764092,NA
764136,NA
764237,NA
764239,NA
764334,NA
764481,NA
764487,NA
764515,NA
764516,NA
764517,NA
764580,NA
764608,NA
764658,NA
764659,NA
764764,NA
764820,NA
764821,NA
765262,NA
765395,NA
765396,NA
765435,NA
765436,NA
765694,NA
765695,NA
765775,NA
765865,NA
765888,NA
765889,NA
765949,NA
765974,NA
766255,NA
766271,NA
766824,NA
766887,NA
766907,NA
766908,NA
766991,NA
766992,NA
767006,NA
767048,NA
767124,NA
767125,NA
767189,NA
767470,NA
767598,NA
767599,NA
767600,NA
767601,NA
767745,NA
767746,NA
767897,NA
767898,NA
767951,NA
767952,NA
767953,NA
768068,NA
768070,NA
768112,NA
774901,NA